room_no,lab_name,equipment_name,status
304,Exercise Therapy Lab,Parallel Bars,Non Consumable
304,Exercise Therapy Lab,Parallel Bars,Non Consumable
304,Exercise Therapy Lab,Wall Ladder,Non Consumable
304,Exercise Therapy Lab,Wall Ladder,Non Consumable
304,Exercise Therapy Lab,Static Cycle,Non Consumable
304,Exercise Therapy Lab,Static Cycle,Non Consumable
304,Exercise Therapy Lab,Static Cycle,Non Consumable
304,Exercise Therapy Lab,Static Cycle,Non Consumable
304,Exercise Therapy Lab,Suspension Apparatus,Non Consumable
304,Exercise Therapy Lab,Shoulder Wheel ,Non Consumable
304,Exercise Therapy Lab,Shoulder Wheel ,Non Consumable
304,Exercise Therapy Lab,Shoulder Wheel ,Non Consumable
304,Exercise Therapy Lab,Shoulder Wheel ,Non Consumable
304,Exercise Therapy Lab,T-Pulley,Non Consumable
304,Exercise Therapy Lab,T-Pulley,Non Consumable
304,Exercise Therapy Lab,Finger Ladder,Non Consumable
304,Exercise Therapy Lab,Finger Ladder,Non Consumable
304,Exercise Therapy Lab,Hand Exercise Kit,Non Consumable
304,Exercise Therapy Lab,Hand Exercise Kit,Non Consumable
304,Exercise Therapy Lab,Multiple Exercise Chair/Machine,Non Consumable
304,Exercise Therapy Lab,Multiple Exercise Chair/Machine,Non Consumable
304,Exercise Therapy Lab,Tilt Table,Non Consumable
304,Exercise Therapy Lab,Tilt Table,Non Consumable
304,Exercise Therapy Lab,"Exercise Mat 4"" ",Non Consumable
304,Exercise Therapy Lab,"Exercise Mat 4"" ",Non Consumable
304,Exercise Therapy Lab,Walking Aid,Non Consumable
304,Exercise Therapy Lab,Walkers,Non Consumable
304,Exercise Therapy Lab,Walkers,Non Consumable
304,Exercise Therapy Lab,Walkers,Non Consumable
304,Exercise Therapy Lab,Walkers,Non Consumable
304,Exercise Therapy Lab,Elbow Ctructhes,Non Consumable
304,Exercise Therapy Lab,Elbow Ctructhes,Non Consumable
304,Exercise Therapy Lab,Axillary Cruthes,Non Consumable
304,Exercise Therapy Lab,Axillary Cruthes,Non Consumable
304,Exercise Therapy Lab,Axillary Cruthes,Non Consumable
304,Exercise Therapy Lab,Walking Stick,Non Consumable
304,Exercise Therapy Lab,Walking Stick,Non Consumable
304,Exercise Therapy Lab,Walking Stick,Non Consumable
304,Exercise Therapy Lab,Walking Stick,Non Consumable
304,Exercise Therapy Lab,Walking Stick,Non Consumable
304,Exercise Therapy Lab,Wheel Chair,Non Consumable
304,Exercise Therapy Lab,Wheel Chair,Non Consumable
304,Exercise Therapy Lab,Wheel Chair,Non Consumable
304,Exercise Therapy Lab,Wheel Chair,Non Consumable
304,Exercise Therapy Lab,Medicine ball,Non Consumable
304,Exercise Therapy Lab,Medicine ball,Non Consumable
304,Exercise Therapy Lab,Dumbell,Non Consumable
304,Exercise Therapy Lab,Dumbell,Non Consumable
304,Exercise Therapy Lab,Dumbell,Non Consumable
304,Exercise Therapy Lab,Quadriceps Chair,Non Consumable
304,Exercise Therapy Lab,Quadriceps Chair,Non Consumable
304,Exercise Therapy Lab,Self Exerciser,Non Consumable
304,Exercise Therapy Lab,Self Exerciser,Non Consumable
304,Exercise Therapy Lab,Swiss Ball ,Non Consumable
304,Exercise Therapy Lab,Swiss Ball set of five,Non Consumable
304,Exercise Therapy Lab,Swiss Ball set of five,Non Consumable
304,Exercise Therapy Lab,Swiss Ball,Non Consumable
304,Exercise Therapy Lab,Bolster,Non Consumable
304,Exercise Therapy Lab,Trampoline,Non Consumable
304,Exercise Therapy Lab,Weight cuffs,Non Consumable
304,Exercise Therapy Lab,Weight cuffs,Non Consumable
304,Exercise Therapy Lab,Balance Board,Non Consumable
304,Exercise Therapy Lab,Balance Board,Non Consumable
304,Exercise Therapy Lab,Balance Board,Non Consumable
304,Exercise Therapy Lab,Balance Board,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Goniometers,Non Consumable
304,Exercise Therapy Lab,Treatment Couches,Non Consumable
304,Exercise Therapy Lab,Treatment Couches,Non Consumable
304,Exercise Therapy Lab,Treatment Couches,Non Consumable
304,Exercise Therapy Lab,Treatment Couches,Non Consumable
304,Exercise Therapy Lab,Standing Frame,Non Consumable
304,Exercise Therapy Lab,Standing Frame,Non Consumable
304,Exercise Therapy Lab,CP Chair,Non Consumable
304,Exercise Therapy Lab,CP Chair,Non Consumable
304,Exercise Therapy Lab,Wedges 8 X 24 X 28,Non Consumable
304,Exercise Therapy Lab,Wedges 10 X 24 X 28,Non Consumable
304,Exercise Therapy Lab,Peg Boards,Non Consumable
304,Exercise Therapy Lab,Peg Boards,Non Consumable
304,Exercise Therapy Lab,Peg Boards,Non Consumable
